l,ll,pg,n,d
A,Alif mamdooah,67,29,29
AA,Alif maqsoora,106,51,51
b,beh,167,80,20
p,(peh),260,59,7
t,teh,326,34,2
tt,(tteh),367,8,2
v,theh,377,2,0
j,jim,379,28,2
jj,(cheem),408,29,0
H,Ha,441,15,0
x,kha,454,21,0
d,dal,473,36,4
dd,(ddal),516,10,0
*,dhal,527,6,0
r,ra,533,21,2
z,zin,556,10,0
s,sin,570,30,4
$,shin,604,15,0
S,Sad,617,5,0
D,Dad,621,1,0
T,Ta,622,7,0
Z,Dha,631,2,2
E,ain,634,13,5
g,gain,648,9,0
f,feh,658,14,1
q,qaf,671,18,8
k,kaf,689,46,2
gg,(gaaf),726,27,1
l,lam,757,17,2
m,mim,775,48,3
n,nun,834,33,2
w,waav,871,4,2
h,heh,878,17,2
y,yeh,902,4,0